REPORT_DATE,TOTAL_DOD,HOLDING_PEDIATRIC_DOD,GAP_ELIG_COMBO_DIAG_ONLY_DOD,GAP_ELIG_COMBO_INS_ONLY_DOD,GAP_ELIG_COMBO_PROV_ONLY_DOD,GAP_ELIG_COMBO_DIAG_AND_INS_DOD,GAP_ELIG_COMBO_DIAG_AND_PROV_DOD,GAP_ELIG_COMBO_INS_AND_PROV_DOD,GAP_ELIG_COMBO_DIAG_INS_PROV_DOD,GAP_ELIG_COMBO_NO_PROGRAM_DOD,GAP_MKT_CIO_ERROR_DOD,GAP_MKT_RESTRICTED_DOD,GAP_MKT_PROVIDER_NF_DOD,GAP_MKT_HIGH_COPAY_DOD,GAP_MKT_AWAITING_BI_DOD,GAP_MKT_NEW_PATIENTS_DOD,GAP_MKT_NOT_INTERESTED_DOD,GAP_MKT_OTHER_DOD,AWAITING_BI_DOD,BI_COMPLETE_DOD,AWAITING_NEXT_CAMPAIGN_DOD,IN_CAMPAIGN_DOD,AWAITING_DEVICE_SHIPMENT_DOD,AWAITING_DEVICE_DELIVERY_DOD,AWAITING_ACTIVATION_DOD,DAILY_CONSENTS,DAILY_DISENROLLMENTS,DAILY_ACTIVATIONS,REMOVALS_NOT_INTERESTED,REMOVALS_NON_COMPLIANCE,REMOVALS_HIGH_COPAY,REMOVALS_GOALS_MET,REMOVALS_DECEASED,REMOVALS_OTHER,REMOVALS_THROUGH_APP,ACTIVE_COUNT,ACTIVE_COUNT_DOD
STARTING_POP,71131,1739,10576,8058,443,4982,472,220,412,0,0,22793,809,6,1990,0,3270,0,1990,4,5027,9814,59,97,337,0,0,22,0,0,0,0,0,0,0,,
9/1/25,-19,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,-14,0,0,0,-29,21,2,0,-14,2,0,17,1,2,2,0,0,0,0,7251,
9/2/25,-7,1,-697,318,2,266,2,0,2,0,0,1435,-3,-21,122,0,-237,0,120,1,-106,-1053,-3,-65,40,29,11,33,0,1,4,0,2,4,0,7251,0
9/3/25,-54,0,500,-375,42,-492,88,-42,-88,0,0,216,14,0,11,0,-204,0,7,4,3150,-2869,-5,18,-24,19,10,19,3,0,2,2,0,2,0,7251,0
9/4/25,-89,0,-2,1,0,1,0,0,0,0,0,-27,43,0,-16,0,38,0,-18,2,146,-292,41,-2,-14,55,8,27,2,3,1,0,1,4,0,7251,0
9/5/25,47,0,6,56,0,-20,0,0,0,0,38,28,-656,0,29,0,-301,0,35,-6,1054,-200,-15,24,-6,48,6,31,3,2,0,1,0,3,0,7251,0
9/6/25,-16,0,0,0,0,0,0,0,0,0,0,-10,0,0,5,0,25,0,5,0,35,-72,11,-3,-7,10,0,12,0,0,0,0,0,0,0,7251,0
9/7/25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,12,1,0,-9,0,0,8,0,0,0,0,0,0,0,7251,0
9/8/25,23,0,1,19,-3,8,0,0,0,0,-2,7,0,0,-95,0,24,0,-99,4,-419,469,-43,0,21,24,14,29,2,4,2,1,0,3,0,7251,0
9/9/25,93,22,4,-6,48,-1,8,26,15,0,-36,5,0,0,-107,0,49,0,-105,-2,-1,51,17,24,-19,47,6,21,0,0,1,0,0,5,0,7251,0
9/10/25,-41,0,-1,3,0,0,0,0,0,0,0,606,0,0,-85,0,-29,0,-82,-3,-192,-345,-10,-15,35,30,7,23,3,2,3,0,0,2,0,7251,0
9/11/25,-61,0,0,6,0,0,0,0,0,0,0,10,0,0,-102,0,39,0,-102,0,42,-70,4,20,-10,37,9,19,7,0,2,0,0,4,0,7251,0
9/12/25,1404,10,-15,572,-47,13,-1,47,1,0,0,1205,0,0,-89,0,0,0,-89,0,-24,-278,-18,-4,28,35,28,20,11,1,1,1,0,4,0,7251,0
